confidence,last_seen,observed,relationship,source,target,weight,evidence_id,evidence_origin,mapping_basis
,,1,alerted_in,RULE:110240,PLATFORM:Wazuh,1.0,EV-ed2b2ecc3b59ab6a,canonical_edge_row_134,
,,1,detects_technique,CONTROL:C023,MITRE:T1078,1.0,EV-37dca46ad5d99122,canonical_edge_row_135,
,,1,protected_by,ASSET:A04,CONTROL:C024,1.0,EV-f363d84c37226a05,canonical_edge_row_136,
,,1,uses_log_source,CONTROL:C024,LOGSOURCE:Sysmon,1.0,EV-de62478d5b5620fb,canonical_edge_row_137,
,,1,produces_rule,CONTROL:C024,RULE:110241,1.0,EV-3b6c8b5eec667815,canonical_edge_row_138,
,,1,alerted_in,RULE:110241,PLATFORM:Wazuh,1.0,EV-84d46447fa83aa59,canonical_edge_row_139,
,,1,detects_technique,CONTROL:C024,MITRE:T1087,1.0,EV-13fbbceac42a1f71,canonical_edge_row_140,
,,1,protected_by,ASSET:A04,CONTROL:C025,1.0,EV-bc7417dc4f55f3bc,canonical_edge_row_141,
,,1,uses_log_source,CONTROL:C025,LOGSOURCE:Sysmon,1.0,EV-c38e6c3d7840bc6b,canonical_edge_row_142,
,,1,produces_rule,CONTROL:C025,RULE:110242,1.0,EV-ab9a44b2c4078650,canonical_edge_row_143,
,,1,alerted_in,RULE:110242,PLATFORM:Wazuh,1.0,EV-066f0d6a6058d230,canonical_edge_row_144,
,,1,detects_technique,CONTROL:C025,MITRE:T1016,1.0,EV-f1523921efc75036,canonical_edge_row_145,
,,1,protected_by,ASSET:A04,CONTROL:C026,0.9,EV-ffb44c57bb068ccf,canonical_edge_row_146,
,,1,uses_log_source,CONTROL:C026,LOGSOURCE:PowerShell,1.0,EV-96a323151786e2cb,canonical_edge_row_147,
,,1,produces_rule,CONTROL:C026,RULE:110243,1.0,EV-9e186aed83e01768,canonical_edge_row_148,
,,1,alerted_in,RULE:110243,PLATFORM:Wazuh,1.0,EV-39b05eafa21057e6,canonical_edge_row_149,
,,1,detects_technique,CONTROL:C026,MITRE:T1059.001,1.0,EV-13b44d158f398d4c,canonical_edge_row_150,
,,1,protected_by,ASSET:A04,CONTROL:C027,0.8,EV-dd935b13488afc42,canonical_edge_row_151,
,,1,uses_log_source,CONTROL:C027,LOGSOURCE:Sysmon,1.0,EV-8eac028e18c3baa6,canonical_edge_row_152,
,,1,produces_rule,CONTROL:C027,RULE:110244,1.0,EV-c1cf16911b12ff93,canonical_edge_row_153,
,,1,alerted_in,RULE:110244,PLATFORM:Wazuh,1.0,EV-ec2215a72e85ec17,canonical_edge_row_154,
,,1,detects_technique,CONTROL:C027,MITRE:T1071.004,1.0,EV-50b5d6a46cd8b546,canonical_edge_row_155,
high,,1,queries,INTEGRATION:custom-misp,PLATFORM:MISP,1.0,EV-672dd25d05053f94,canonical_edge_row_156,
medium,,1,contains_ioc,PLATFORM:MISP,CTI:cti-test.example.com,1.0,EV-0f1d9edb1db8f31d,canonical_edge_row_157,
,,1,triggers_integration,PLATFORM:Wazuh,INTEGRATION:custom-misp,1.0,EV-6bafe9a657f310cd,canonical_edge_row_158,
,,1,matches_ioc,INTEGRATION:custom-misp,CTI:cti-test.example.com,1.0,EV-758cf16ac6f52055,canonical_edge_row_159,
,,1,converted_to_alert,CTI:cti-test.example.com,RULE:110100,1.0,EV-80e9c4d624dc207d,canonical_edge_row_160,
,,1,mapped_to,CTI:cti-test.example.com,MITRE:T1071.004,1.0,EV-40a28b4ff337aaa0,canonical_edge_row_161,
high,,1,queries,INTEGRATION:custom-misp,PLATFORM:MISP,1.0,EV-3663c21b1178d8a3,canonical_edge_row_162,
medium,,1,contains_ioc,PLATFORM:MISP,CTI:203.0.113.66,1.0,EV-c0167a7a14b3321e,canonical_edge_row_163,
,,1,triggers_integration,PLATFORM:Wazuh,INTEGRATION:custom-misp,1.0,EV-c84b4cad0b9364e4,canonical_edge_row_164,
,,1,matches_ioc,INTEGRATION:custom-misp,CTI:203.0.113.66,1.0,EV-2974eb3c69e7c00b,canonical_edge_row_165,
,,1,converted_to_alert,CTI:203.0.113.66,RULE:110203,1.0,EV-671964a44783244f,canonical_edge_row_166,
,,1,mapped_to,CTI:203.0.113.66,MITRE:T1071.004,1.0,EV-b53d99d13f507661,canonical_edge_row_167,
medium,,1,maps_to,CTI:cti-test.example.com,MITRE:T1071.004,1.0,EV-0517a87181800543,canonical_edge_row_168,
medium,,1,maps_to,CTI:203.0.113.66,MITRE:T1071.004,1.0,EV-8250b906ea22b942,canonical_edge_row_169,
low,,1,uses,CTI:test-malware-family,MITRE:T1071.004,1.0,EV-33b213832b655387,canonical_edge_row_170,
low,,1,uses,CTI:test-threat-actor,CTI:test-malware-family,1.0,EV-00daf6247fd2c9d2,canonical_edge_row_171,
low,,1,contains,CTI:saci-lab-campaign,CTI:cti-test.example.com,1.0,EV-562e9f0c3c8348bd,canonical_edge_row_172,
